,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
2,2022-08-30,00:24:29,raw,True,0.075,136979,100,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4262156957149735,0.2708221797323136,0.7587315191772016,0.29634279019164783,0.06960190978179137,0.06960190978179137,"['db', 'rand']",0.8519822245118708,0.1721781290325449
6,2022-08-30,00:24:29,raw,True,0.075,136979,101,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4262156957149735,0.2708221797323136,0.7587315191772016,0.29634279019164783,0.06960190978179137,0.06960190978179137,"['db', 'rand']",0.8448193562184309,0.1721781274336628
10,2022-08-30,00:24:29,raw,True,0.075,136979,102,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8460117722945185,0.1721817515664398
14,2022-08-30,00:24:29,raw,True,0.075,136979,103,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8466067675425133,0.17209080544669053
18,2022-08-30,00:24:29,raw,True,0.075,136979,104,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8505001310232898,0.17187696732949967
22,2022-08-30,00:24:29,raw,True,0.075,136979,105,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8495250112899411,0.17154173835198192
26,2022-08-30,00:24:29,raw,True,0.075,136979,106,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8523668663058179,0.17128338714373376
30,2022-08-30,00:24:29,raw,True,0.075,136979,107,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.43899235912129897,0.28122370936902485,0.765563189673121,0.3077244957737049,0.06860905686273078,0.06860905686273078,"['db', 'rand']",0.8556190776010086,0.17101913670006175
34,2022-08-30,00:24:29,raw,True,0.075,136979,108,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4186075399043538,0.2647081926007384,0.8116570327552987,0.2820319692024437,0.06833894246563342,0.06833894246563342,"['db', 'rand']",0.853173441389644,0.1710200319674498
38,2022-08-30,00:24:29,raw,True,0.075,136979,109,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4186075399043538,0.2647081926007384,0.8116570327552987,0.2820319692024437,0.06833894246563342,0.06833894246563342,"['db', 'rand']",0.8475542860704066,0.17102001917639295
42,2022-08-30,00:24:29,raw,True,0.075,136979,110,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4186075399043538,0.2647081926007384,0.8116570327552987,0.2820319692024437,0.06833894246563342,0.06833894246563342,"['db', 'rand']",0.8476091466960924,0.17091449039908607
46,2022-08-30,00:24:29,raw,True,0.075,136979,111,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4186075399043538,0.2647081926007384,0.8116570327552987,0.2820319692024437,0.06833894246563342,0.06833894246563342,"['db', 'rand']",0.8476244104222326,0.17083822073797802
50,2022-08-30,00:24:29,raw,True,0.075,136979,112,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.4186075399043538,0.2647081926007384,0.8116570327552987,0.2820319692024437,0.06833894246563342,0.06833894246563342,"['db', 'rand']",0.8463829260861164,0.17066171438615466
