,date,time,data_set,is_down_sample,down_sample_amount,n_points,n_clusters,clustering_algorithm,classification_metrics,f1,jaccard,precision,recall,mean_abs,mean_sqr,clustering_metrics,db,rand
3,2022-08-30,00:24:29,cc,True,0.075,136979,100,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6186128900395148,0.4478200828565792,0.69838990872731,0.5551932170226642,0.061301367362880436,0.061301367362880436,"['db', 'rand']",0.9658850787252566,0.17699135277794287
7,2022-08-30,00:24:29,cc,True,0.075,136979,101,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6186128900395148,0.4478200828565792,0.69838990872731,0.5551932170226642,0.061301367362880436,0.061301367362880436,"['db', 'rand']",0.9656447393301828,0.1767977557620881
11,2022-08-30,00:24:29,cc,True,0.075,136979,102,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6186128900395148,0.4478200828565792,0.69838990872731,0.5551932170226642,0.061301367362880436,0.061301367362880436,"['db', 'rand']",0.9680892137064752,0.17653031522883514
15,2022-08-30,00:24:29,cc,True,0.075,136979,103,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6186128900395148,0.4478200828565792,0.69838990872731,0.5551932170226642,0.061301367362880436,0.061301367362880436,"['db', 'rand']",0.9659310842535755,0.17631232172363906
19,2022-08-30,00:24:29,cc,True,0.075,136979,104,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9641399193376472,0.17633039612653514
23,2022-08-30,00:24:29,cc,True,0.075,136979,105,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9656043464933326,0.17631465992883308
27,2022-08-30,00:24:29,cc,True,0.075,136979,106,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.969101173618914,0.17600668858689195
31,2022-08-30,00:24:29,cc,True,0.075,136979,107,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9657428113556928,0.17586529475207088
35,2022-08-30,00:24:29,cc,True,0.075,136979,108,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9660690929505962,0.17559968333994894
39,2022-08-30,00:24:29,cc,True,0.075,136979,109,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9683114209534242,0.17558275426960251
43,2022-08-30,00:24:29,cc,True,0.075,136979,110,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9651994813464441,0.1754468096381881
47,2022-08-30,00:24:29,cc,True,0.075,136979,111,birch,"['f1', 'jaccard', 'precision', 'recall', 'mean_abs', 'mean_sqr']",0.6135588334214193,0.4425422789021347,0.747045747045747,0.5205445948149356,0.05871702961767863,0.05871702961767863,"['db', 'rand']",0.9659791476500336,0.17537850486159468
